x_true, y_true, vx_true, vy_true, x_est, y_est, vx_est, vy_est, sensor, RMSE_x, RMSE_y, RMSE_vx, RMSE_vy
-15.9924, 10.2511, 5.0104, 1.0896, -15.9058, 10.3575, 5.1734, 1.5066, L, 0.0968, 0.0860, 0.4276, 0.4411
-15.7416, 10.3041, 5.0266, 1.0316, -15.6475, 10.4297, 5.1916, 1.4845, R, 0.0968, 0.0861, 0.4272, 0.4412
-15.4899, 10.3543, 5.0417, 0.9750, -15.4658, 10.3839, 4.9711, 1.1711, L, 0.0967, 0.0860, 0.4268, 0.4408
-15.2376, 10.4016, 5.0558, 0.9197, -15.1465, 10.4296, 5.3542, 0.9938, R, 0.0967, 0.0860, 0.4266, 0.4403
-14.9846, 10.4462, 5.0689, 0.8658, -14.8935, 10.4706, 5.3192, 0.9682, L, 0.0967, 0.0859, 0.4263, 0.4399
-14.7309, 10.4882, 5.0811, 0.8134, -14.6482, 10.5029, 5.1256, 1.0275, R, 0.0967, 0.0858, 0.4258, 0.4395
-14.4766, 10.5276, 5.0924, 0.7624, -14.4333, 10.4492, 4.9861, 0.7636, L, 0.0966, 0.0858, 0.4254, 0.4391
-14.2218, 10.5645, 5.1029, 0.7129, -14.1624, 10.4790, 5.1009, 0.6955, R, 0.0965, 0.0858, 0.4249, 0.4386
-13.9665, 10.5989, 5.1126, 0.6649, -13.8340, 10.6555, 5.3271, 1.0566, L, 0.0966, 0.0857, 0.4246, 0.4385
-13.7107, 10.6310, 5.1216, 0.6185, -13.5681, 10.7213, 5.2684, 1.1399, R, 0.0967, 0.0857, 0.4242, 0.4387
-13.4545, 10.6608, 5.1298, 0.5736, -13.3433, 10.7044, 5.1475, 0.9538, L, 0.0968, 0.0857, 0.4238, 0.4386
-13.1979, 10.6884, 5.1374, 0.5303, -13.0663, 10.7383, 5.2914, 0.8364, R, 0.0968, 0.0856, 0.4234, 0.4384
-12.9409, 10.7138, 5.1444, 0.4886, -12.8162, 10.8299, 5.2860, 0.9470, L, 0.0969, 0.0857, 0.4230, 0.4384
-12.6836, 10.7373, 5.1507, 0.4485, -12.5359, 10.8901, 5.3523, 0.9610, R, 0.0970, 0.0859, 0.4227, 0.4386
-12.4260, 10.7587, 5.1565, 0.4100, -12.3331, 10.8314, 5.1535, 0.6930, L, 0.0970, 0.0859, 0.4222, 0.4383
-12.1681, 10.7783, 5.1618, 0.3732, -12.0693, 10.8690, 5.1663, 0.7043, R, 0.0970, 0.0859, 0.4218, 0.4381
-11.9100, 10.7961, 5.1666, 0.3380, -11.8302, 10.9305, 5.1379, 0.7577, L, 0.0970, 0.0860, 0.4213, 0.4381
-11.6516, 10.8121, 5.1709, 0.3045, -11.5379, 10.9594, 5.2758, 0.6878, R, 0.0970, 0.0862, 0.4209, 0.4380
-11.3930, 10.8265, 5.1748, 0.2728, -11.3297, 10.9584, 5.1326, 0.5882, L, 0.0970, 0.0863, 0.4205, 0.4377
-11.1342, 10.8394, 5.1784, 0.2427, -11.0505, 10.9066, 5.4643, 0.0766, R, 0.0970, 0.0862, 0.4203, 0.4373
-10.8753, 10.8509, 5.1815, 0.2143, -10.7540, 10.8687, 5.4942, -0.0088, L, 0.0970, 0.0862, 0.4201, 0.4370
